id,question,choice_a,choice_b,choice_c,choice_d,answer,category,explanation
1,世界中で宗教人口が最も多い宗教はどれか,キリスト教,イスラーム,ヒンドゥー教,仏教,A,世界宗教統計,A：キリスト教（正解。この設問の条件に合致する。） / B：イスラーム（誤り。別の宗教・概念・数値・特徴を指す。） / C：ヒンドゥー教（誤り。別の宗教・概念・数値・特徴を指す。） / D：仏教（誤り。別の宗教・概念・数値・特徴を指す。）
2,世界中のキリスト教徒の人口として正しいものはどれか,約10.3億人,約15.9億人,約21.6億人,約4.9億人,C,世界宗教統計,A：約10.3億人（誤り。別の宗教・概念・数値・特徴を指す。） / B：約15.9億人（誤り。別の宗教・概念・数値・特徴を指す。） / C：約21.6億人（正解。この設問の条件に合致する。） / D：約4.9億人（誤り。別の宗教・概念・数値・特徴を指す。）
3,キリスト教徒が世界総人口に占める割合として正しいものはどれか,約15％,約22％,約31％,約45％,C,世界宗教統計,A：約15％（誤り。別の宗教・概念・数値・特徴を指す。） / B：約22％（誤り。別の宗教・概念・数値・特徴を指す。） / C：約31％（正解。この設問の条件に合致する。） / D：約45％（誤り。別の宗教・概念・数値・特徴を指す。）
4,世界中で宗教人口が2番目に多い宗教はどれか,キリスト教,イスラーム,ヒンドゥー教,仏教,B,世界宗教統計,A：キリスト教（誤り。別の宗教・概念・数値・特徴を指す。） / B：イスラーム（正解。この設問の条件に合致する。） / C：ヒンドゥー教（誤り。別の宗教・概念・数値・特徴を指す。） / D：仏教（誤り。別の宗教・概念・数値・特徴を指す。）
5,世界中のイスラーム教徒（ムスリム）の人口として正しいものはどれか,約4.9億人,約10.3億人,約15.9億人,約21.6億人,C,世界宗教統計,A：約4.9億人（誤り。別の宗教・概念・数値・特徴を指す。） / B：約10.3億人（誤り。別の宗教・概念・数値・特徴を指す。） / C：約15.9億人（正解。この設問の条件に合致する。） / D：約21.6億人（誤り。別の宗教・概念・数値・特徴を指す。）
6,世界中のヒンドゥー教徒の人口として正しいものはどれか,約4.9億人,約10.3億人,約15.9億人,約21.6億人,B,世界宗教統計,A：約4.9億人（誤り。別の宗教・概念・数値・特徴を指す。） / B：約10.3億人（正解。この設問の条件に合致する。） / C：約15.9億人（誤り。別の宗教・概念・数値・特徴を指す。） / D：約21.6億人（誤り。別の宗教・概念・数値・特徴を指す。）
7,世界中の仏教徒の人口として正しいものはどれか,約4.9億人,約10.3億人,約15.9億人,約21.6億人,A,世界宗教統計,A：約4.9億人（正解。この設問の条件に合致する。） / B：約10.3億人（誤り。別の宗教・概念・数値・特徴を指す。） / C：約15.9億人（誤り。別の宗教・概念・数値・特徴を指す。） / D：約21.6億人（誤り。別の宗教・概念・数値・特徴を指す。）
8,日本における宗教法人数や信者数を掲載した資料は何か,宗教年表,宗教年鑑,日本宗教史,宗教白書,B,日本宗教統計,A：宗教年表（誤り。別の宗教・概念・数値・特徴を指す。） / B：宗教年鑑（正解。この設問の条件に合致する。） / C：日本宗教史（誤り。別の宗教・概念・数値・特徴を指す。） / D：宗教白書（誤り。別の宗教・概念・数値・特徴を指す。）
9,日本の宗教年鑑における宗教団体の分類として存在しないものはどれか,ユダヤ系,キリスト系,神道系,仏教系,A,日本宗教統計,A：ユダヤ系（正解。この設問の条件に合致する。） / B：キリスト系（誤り。別の宗教・概念・数値・特徴を指す。） / C：神道系（誤り。別の宗教・概念・数値・特徴を指す。） / D：仏教系（誤り。別の宗教・概念・数値・特徴を指す。）
10,日本において信者数が最も多い宗教系統の組み合わせとして正しいものはどれか,神道系と仏教系,キリスト系と諸教系,仏教系とキリスト系,神道系と諸教系,A,日本宗教統計,A：神道系と仏教系（正解。この設問の条件に合致する。） / B：キリスト系と諸教系（誤り。別の宗教・概念・数値・特徴を指す。） / C：仏教系とキリスト系（誤り。別の宗教・概念・数値・特徴を指す。） / D：神道系と諸教系（誤り。別の宗教・概念・数値・特徴を指す。）
11,ユダヤ教について正しいものはどれか,イエスを神の子として信仰する,開祖はムハンマドである,民族宗教としての性格が強い,三位一体の神を信仰する,C,ユダヤ教,A：イエスを神の子として信仰する（誤り。別の宗教・概念・数値・特徴を指す。） / B：開祖はムハンマドである（誤り。別の宗教・概念・数値・特徴を指す。） / C：民族宗教としての性格が強い（正解。この設問の条件に合致する。） / D：三位一体の神を信仰する（誤り。別の宗教・概念・数値・特徴を指す。）
12,ユダヤ教の聖典として最も適切なものはどれか,クルアーン,ヴェーダ,旧約聖書（ヘブライ語）,新約聖書,C,ユダヤ教,A：クルアーン（誤り。別の宗教・概念・数値・特徴を指す。） / B：ヴェーダ（誤り。別の宗教・概念・数値・特徴を指す。） / C：旧約聖書（ヘブライ語）（正解。この設問の条件に合致する。） / D：新約聖書（誤り。別の宗教・概念・数値・特徴を指す。）
13,ユダヤ教の聖典の呼称として不適切なものはどれか,トーラー,ヘブライ聖書,旧約聖書,新約聖書,D,ユダヤ教,A：トーラー（誤り。別の宗教・概念・数値・特徴を指す。） / B：ヘブライ聖書（誤り。別の宗教・概念・数値・特徴を指す。） / C：旧約聖書（誤り。別の宗教・概念・数値・特徴を指す。） / D：新約聖書（正解。この設問の条件に合致する。）
14,ユダヤ教における安息日を指すヘブライ語として正しいものはどれか,ラマダーン,シャバット,ペンテコステ,サバ,B,ユダヤ教,A：ラマダーン（誤り。別の宗教・概念・数値・特徴を指す。） / B：シャバット（正解。この設問の条件に合致する。） / C：ペンテコステ（誤り。別の宗教・概念・数値・特徴を指す。） / D：サバ（誤り。別の宗教・概念・数値・特徴を指す。）
15,キリスト教におけるイコンの説明として不適切なものはどれか,正教会で特に重視される宗教的図像である,信仰の対象そのものとして神と同一視される,礼拝や信仰の補助として用いられる,主にイエスや聖人が描かれる,B,キリスト教,A：正教会で特に重視される宗教的図像である（誤り。別の宗教・概念・数値・特徴を指す。） / B：信仰の対象そのものとして神と同一視される（正解。この設問の条件に合致する。） / C：礼拝や信仰の補助として用いられる（誤り。別の宗教・概念・数値・特徴を指す。） / D：主にイエスや聖人が描かれる（誤り。別の宗教・概念・数値・特徴を指す。）
